Name,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2023-24 Brooklyn Nets,241.5,40.7,89.1,.456,13.3,36.7,.362,27.4,52.4,.522,15.8,20.9,.756,11.4,32.6,44.1,25.6,6.8,5.2,13.1,18.5,110.4
2022-23 Brooklyn Nets,240.6,41.5,85.1,.487,12.8,33.8,.378,28.7,51.3,.559,17.7,22.1,.800,8.2,32.3,40.5,25.5,7.1,6.2,13.7,21.1,113.4
2021-22 Brooklyn Nets,240.9,42.0,88.4,.475,11.5,31.7,.361,30.5,56.7,.538,17.5,21.7,.805,10.3,34.1,44.4,25.3,7.1,5.5,14.1,20.4,112.9
2020-21 Brooklyn Nets,241.7,43.1,87.3,.494,14.2,36.1,.392,29.0,51.2,.565,18.1,22.5,.804,8.9,35.5,44.4,26.8,6.7,5.3,13.5,19.0,118.6
2019-20 Brooklyn Nets,242.8,40.4,90.3,.448,13.1,38.1,.343,27.3,52.1,.524,17.9,24.1,.745,10.6,37.3,47.9,24.5,6.4,4.5,15.3,21.0,111.8
2018-19 Brooklyn Nets,243.7,40.3,89.7,.449,12.8,36.2,.353,27.5,53.6,.513,19.0,25.5,.745,11.0,35.6,46.6,23.8,6.6,4.1,15.1,21.5,112.2
2017-18 Brooklyn Nets,242.1,38.2,86.8,.441,12.7,35.7,.356,25.5,51.1,.500,17.4,22.6,.772,9.7,34.8,44.4,23.7,6.2,4.8,15.2,20.6,106.6
2016-17 Brooklyn Nets,240.9,37.8,85.2,.444,10.7,31.6,.338,27.1,53.6,.506,19.4,24.6,.788,8.8,35.1,43.9,21.4,7.2,4.7,16.5,21.0,105.8
2015-16 Brooklyn Nets,240.9,38.2,84.4,.453,6.5,18.4,.352,31.8,66.0,.481,15.7,20.7,.757,10.5,31.9,42.4,22.3,7.6,4.0,14.8,18.0,98.6
2014-15 Brooklyn Nets,243.0,37.4,83.0,.451,6.6,19.9,.331,30.8,63.1,.489,16.6,22.2,.748,10.3,32.0,42.4,20.9,7.0,4.1,13.8,19.3,98.0
2013-14 Brooklyn Nets,242.4,35.7,77.9,.459,8.6,23.4,.369,27.1,54.5,.497,18.4,24.4,.753,8.8,29.4,38.1,20.9,8.6,3.8,14.5,21.7,98.5
2012-13 Brooklyn Nets,242.1,35.9,79.8,.450,7.7,21.5,.357,28.2,58.3,.484,17.5,23.9,.731,12.8,30.0,42.8,20.3,7.3,4.8,14.7,18.3,96.9
2023-24 Brooklyn Nets,241.5,40.7,89.1,.456,13.3,36.7,.362,27.4,52.4,.522,15.8,20.9,.756,11.4,32.6,44.1,25.6,6.8,5.2,13.1,18.5,110.4
2022-23 Brooklyn Nets,240.6,41.5,85.1,.487,12.8,33.8,.378,28.7,51.3,.559,17.7,22.1,.800,8.2,32.3,40.5,25.5,7.1,6.2,13.7,21.1,113.4
2021-22 Brooklyn Nets,240.9,42.0,88.4,.475,11.5,31.7,.361,30.5,56.7,.538,17.5,21.7,.805,10.3,34.1,44.4,25.3,7.1,5.5,14.1,20.4,112.9
2020-21 Brooklyn Nets,241.7,43.1,87.3,.494,14.2,36.1,.392,29.0,51.2,.565,18.1,22.5,.804,8.9,35.5,44.4,26.8,6.7,5.3,13.5,19.0,118.6
2019-20 Brooklyn Nets,242.8,40.4,90.3,.448,13.1,38.1,.343,27.3,52.1,.524,17.9,24.1,.745,10.6,37.3,47.9,24.5,6.4,4.5,15.3,21.0,111.8
2018-19 Brooklyn Nets,243.7,40.3,89.7,.449,12.8,36.2,.353,27.5,53.6,.513,19.0,25.5,.745,11.0,35.6,46.6,23.8,6.6,4.1,15.1,21.5,112.2
2017-18 Brooklyn Nets,242.1,38.2,86.8,.441,12.7,35.7,.356,25.5,51.1,.500,17.4,22.6,.772,9.7,34.8,44.4,23.7,6.2,4.8,15.2,20.6,106.6
2016-17 Brooklyn Nets,240.9,37.8,85.2,.444,10.7,31.6,.338,27.1,53.6,.506,19.4,24.6,.788,8.8,35.1,43.9,21.4,7.2,4.7,16.5,21.0,105.8
2015-16 Brooklyn Nets,240.9,38.2,84.4,.453,6.5,18.4,.352,31.8,66.0,.481,15.7,20.7,.757,10.5,31.9,42.4,22.3,7.6,4.0,14.8,18.0,98.6
2014-15 Brooklyn Nets,243.0,37.4,83.0,.451,6.6,19.9,.331,30.8,63.1,.489,16.6,22.2,.748,10.3,32.0,42.4,20.9,7.0,4.1,13.8,19.3,98.0
2013-14 Brooklyn Nets,242.4,35.7,77.9,.459,8.6,23.4,.369,27.1,54.5,.497,18.4,24.4,.753,8.8,29.4,38.1,20.9,8.6,3.8,14.5,21.7,98.5
2012-13 Brooklyn Nets,242.1,35.9,79.8,.450,7.7,21.5,.357,28.2,58.3,.484,17.5,23.9,.731,12.8,30.0,42.8,20.3,7.3,4.8,14.7,18.3,96.9
