Name,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2013-14 Charlotte Bobcats,242.7,36.3,82.1,.442,6.3,17.9,.351,30.0,64.1,.468,18.0,24.4,.737,9.5,33.2,42.7,21.7,6.1,5.1,12.3,18.2,96.9
2012-13 Charlotte Bobcats,241.5,34.4,81.1,.425,5.7,17.1,.335,28.7,64.0,.448,18.9,25.1,.750,11.2,29.1,40.3,19.4,7.2,5.8,14.1,19.0,93.4
2011-12 Charlotte Bobcats,240.8,33.2,80.2,.414,4.0,13.5,.295,29.2,66.7,.439,16.5,22.2,.746,10.3,28.7,39.0,20.1,6.0,5.5,14.5,18.9,87.0
2010-11 Charlotte Bobcats,241.5,35.0,77.6,.451,4.8,14.7,.327,30.2,63.0,.480,18.4,24.4,.756,10.3,29.8,40.1,21.1,6.4,5.3,14.5,20.0,93.3
2009-10 Charlotte Bobcats,242.4,34.9,76.9,.453,5.6,16.2,.346,29.2,60.7,.482,20.0,26.6,.751,10.5,30.4,40.8,20.2,7.7,5.4,15.7,19.5,95.3
2008-09 Charlotte Bobcats,243.0,35.0,76.8,.455,6.0,16.3,.366,29.0,60.5,.479,17.7,24.0,.740,10.8,28.9,39.7,21.2,7.1,4.8,15.6,21.4,93.6
2007-08 Charlotte Bobcats,242.4,36.1,79.9,.452,6.5,17.6,.367,29.6,62.3,.476,18.4,25.8,.714,10.9,29.8,40.6,21.3,7.5,4.9,14.7,21.7,97.1
2006-07 Charlotte Bobcats,244.0,36.1,81.0,.446,5.6,15.6,.357,30.5,65.4,.467,19.1,26.0,.734,11.2,28.6,39.8,22.4,7.8,4.5,14.9,24.2,96.9
2005-06 Charlotte Bobcats,242.7,36.1,83.5,.433,5.2,15.4,.339,30.9,68.1,.454,19.4,26.7,.729,12.1,27.7,39.8,20.9,10.0,4.3,14.2,23.9,96.9
2004-05 Charlotte Bobcats,242.4,36.1,83.6,.432,3.9,10.7,.363,32.2,72.9,.442,18.1,25.6,.709,13.2,28.5,41.7,21.9,8.5,5.4,14.5,23.1,94.3
