Name,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02 Charlotte Hornets,240.9,35.3,80.2,.440,4.2,12.1,.348,31.1,68.1,.456,19.1,25.7,.745,12.9,30.5,43.5,21.5,8.0,5.6,14.0,21.3,93.9
2000-01 Charlotte Hornets,242.4,34.1,79.3,.431,4.1,12.0,.346,30.0,67.3,.446,19.5,26.2,.745,12.6,31.8,44.4,23.2,8.1,5.5,14.4,21.4,91.9
1999-00 Charlotte Hornets,241.2,35.8,79.7,.449,4.1,12.2,.339,31.7,67.5,.469,22.7,30.0,.758,10.8,32.1,42.9,24.7,8.9,5.9,14.7,20.4,98.4
1998-99 Charlotte Hornets,243.0,33.4,74.4,.449,5.4,14.7,.365,28.1,59.7,.470,20.7,27.7,.747,9.6,29.9,39.5,22.2,8.9,4.9,15.9,22.0,92.9
1997-98 Charlotte Hornets,241.2,36.2,77.4,.468,4.2,11.0,.383,32.0,66.3,.482,20.0,26.7,.751,12.0,28.5,40.6,23.7,8.4,3.8,15.2,21.4,96.6
1996-97 Charlotte Hornets,241.5,36.4,77.3,.471,7.2,16.9,.428,29.2,60.5,.483,18.8,24.2,.777,11.1,28.0,39.1,24.6,7.3,4.3,14.7,20.8,98.9
1995-96 Charlotte Hornets,242.4,37.9,80.7,.470,7.1,18.5,.384,30.8,62.2,.495,19.9,25.8,.770,12.0,27.5,39.5,23.3,7.1,3.4,15.1,22.1,102.8
1994-95 Charlotte Hornets,241.5,37.2,78.5,.474,6.8,17.2,.397,30.4,61.3,.495,19.4,24.9,.777,10.1,29.2,39.4,25.3,7.6,4.9,14.9,20.5,100.6
1993-94 Charlotte Hornets,241.8,41.2,86.6,.476,4.1,11.2,.367,37.1,75.4,.493,19.9,26.0,.764,12.4,30.2,42.6,27.0,8.8,4.8,15.4,21.3,106.5
1992-93 Charlotte Hornets,240.9,42.8,87.9,.487,2.1,6.5,.326,40.7,81.4,.500,22.3,29.0,.771,13.4,30.6,43.9,26.4,7.8,5.8,16.2,21.8,110.1
1991-92 Charlotte Hornets,241.5,44.1,92.3,.477,1.4,4.5,.317,42.6,87.8,.486,20.0,26.4,.755,14.2,28.9,43.1,27.9,10.0,3.8,15.5,22.2,109.5
1990-91 Charlotte Hornets,241.5,40.1,85.8,.467,1.6,5.1,.314,38.5,80.7,.477,21.0,27.0,.779,12.5,26.8,39.4,24.6,9.3,3.7,15.7,23.7,102.8
1989-90 Charlotte Hornets,240.9,39.9,87.6,.455,2.5,7.5,.336,37.4,80.1,.466,18.1,24.0,.756,11.7,27.0,38.7,25.4,9.5,3.2,15.0,23.0,100.4
1988-89 Charlotte Hornets,241.2,41.8,90.6,.461,1.6,5.2,.312,40.1,85.4,.470,19.3,25.1,.767,13.9,26.8,40.7,28.3,8.6,3.2,16.1,25.2,104.5
