Name,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2023-24 Milwaukee Bucks,241.5,43.1,88.5,.487,14.2,38.1,.373,29.0,50.4,.574,18.5,23.9,.774,9.4,34.8,44.2,26.5,6.8,5.0,12.9,19.2,119.0
2022-23 Milwaukee Bucks,241.8,42.7,90.4,.473,14.8,40.3,.368,27.9,50.1,.557,16.6,22.4,.743,11.1,37.5,48.6,25.8,6.4,4.9,14.6,18.1,116.9
2021-22 Milwaukee Bucks,240.9,41.8,89.4,.468,14.1,38.4,.366,27.8,51.0,.544,17.8,22.9,.776,10.2,36.5,46.7,23.9,7.6,4.0,13.4,18.2,115.5
2020-21 Milwaukee Bucks,240.7,44.7,91.8,.487,14.4,37.1,.389,30.3,54.7,.554,16.2,21.4,.760,10.3,37.8,48.1,25.5,8.1,4.6,13.8,17.3,120.1
2019-20 Milwaukee Bucks,241.0,43.3,90.9,.476,13.8,38.9,.355,29.5,52.0,.567,18.3,24.7,.742,9.5,42.2,51.7,25.9,7.2,5.9,15.1,19.6,118.7
2018-19 Milwaukee Bucks,241.2,43.4,91.1,.476,13.5,38.2,.353,29.9,52.9,.565,17.9,23.2,.773,9.3,40.4,49.7,26.0,7.5,5.9,13.9,19.6,118.1
2017-18 Milwaukee Bucks,241.8,39.7,83.0,.478,8.8,24.7,.355,31.0,58.3,.531,18.3,23.4,.783,8.4,31.5,39.8,23.2,8.8,5.4,13.8,21.4,106.5
2016-17 Milwaukee Bucks,241.2,38.8,81.9,.474,8.8,23.7,.370,30.0,58.2,.516,17.2,22.4,.768,8.8,31.6,40.4,24.2,8.1,5.3,14.0,20.2,103.6
2015-16 Milwaukee Bucks,241.8,38.4,82.2,.467,5.4,15.6,.345,33.0,66.6,.495,17.0,22.7,.747,10.5,31.2,41.7,23.1,8.2,5.8,15.2,20.7,99.0
2014-15 Milwaukee Bucks,243.0,37.6,82.0,.459,6.6,18.3,.363,31.0,63.7,.486,16.0,21.1,.757,10.7,31.4,42.1,23.6,9.6,4.9,16.7,22.1,97.8
2013-14 Milwaukee Bucks,242.4,36.0,82.2,.438,6.7,18.9,.353,29.3,63.2,.464,16.8,22.5,.747,11.8,29.3,41.1,21.5,6.6,4.9,15.1,20.9,95.5
2012-13 Milwaukee Bucks,241.8,38.1,87.8,.435,7.3,20.4,.360,30.8,67.4,.457,15.3,20.7,.736,13.0,30.9,44.0,22.9,8.4,6.7,14.1,19.0,98.9
2011-12 Milwaukee Bucks,240.4,37.9,85.6,.443,6.6,19.2,.345,31.3,66.5,.471,16.6,21.4,.774,12.4,30.0,42.5,23.5,8.3,5.1,14.1,19.3,99.0
2010-11 Milwaukee Bucks,241.8,34.3,79.8,.430,5.9,17.2,.342,28.4,62.6,.454,17.4,22.9,.757,10.5,30.2,40.8,18.8,7.5,4.9,13.5,20.5,91.9
2009-10 Milwaukee Bucks,243.7,37.2,85.3,.436,7.9,22.1,.356,29.3,63.2,.464,15.4,20.4,.755,11.8,31.2,43.0,21.2,7.1,4.7,13.2,22.2,97.7
2008-09 Milwaukee Bucks,241.2,36.7,82.4,.445,6.2,17.2,.363,30.5,65.2,.467,19.7,25.2,.780,11.9,28.9,40.7,22.0,7.4,3.8,14.1,24.2,99.3
2007-08 Milwaukee Bucks,242.1,36.9,82.3,.449,5.5,16.0,.344,31.4,66.2,.474,17.7,24.1,.733,12.9,28.8,41.7,21.5,6.6,4.4,14.8,21.3,97.0
2006-07 Milwaukee Bucks,242.1,38.1,81.9,.465,6.4,18.0,.356,31.7,63.9,.495,17.1,23.4,.733,11.5,27.7,39.2,21.6,7.2,2.7,15.1,22.2,99.7
2005-06 Milwaukee Bucks,242.1,36.3,80.1,.453,6.2,16.3,.380,30.1,63.8,.472,19.0,25.8,.738,11.3,29.9,41.2,21.6,7.3,3.3,14.6,23.2,97.8
2004-05 Milwaukee Bucks,241.2,36.1,80.2,.450,4.0,11.3,.351,32.2,69.0,.467,21.0,27.2,.772,12.0,29.3,41.3,21.0,6.5,3.5,13.8,21.9,97.2
2003-04 Milwaukee Bucks,241.2,36.2,81.1,.447,4.9,14.0,.350,31.3,67.1,.467,20.7,26.7,.775,11.7,30.5,42.2,22.8,6.8,4.7,13.5,20.3,98.0
2002-03 Milwaukee Bucks,242.7,37.1,81.3,.457,7.1,18.6,.383,30.0,62.7,.478,18.1,23.3,.776,10.7,28.9,39.5,22.2,7.6,4.2,12.7,22.2,99.5
