Name,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2023-24 New York Knicks,240.6,41.3,88.7,.465,13.2,35.8,.369,28.1,52.9,.531,17.0,21.8,.780,12.7,32.5,45.2,24.4,7.5,4.1,13.2,17.6,112.8
2022-23 New York Knicks,243.4,42.0,89.4,.470,12.6,35.7,.354,29.4,53.6,.547,19.4,25.5,.761,12.6,34.0,46.6,22.9,6.4,4.1,13.0,20.3,116.0
2021-22 New York Knicks,241.2,37.7,86.2,.437,13.2,36.9,.357,24.5,49.3,.497,18.0,24.1,.744,11.5,34.6,46.1,21.9,7.0,4.9,13.3,20.4,106.5
2020-21 New York Knicks,242.1,39.4,86.5,.456,11.8,30.0,.392,27.7,56.4,.490,16.4,20.9,.784,9.7,35.5,45.1,21.4,7.0,5.1,12.9,20.5,107.0
2019-20 New York Knicks,241.9,40.0,89.3,.447,9.6,28.4,.337,30.4,61.0,.499,16.3,23.5,.694,12.0,34.5,46.5,22.1,7.6,4.7,14.3,22.2,105.8
2018-19 New York Knicks,241.2,38.2,88.3,.433,10.0,29.5,.340,28.2,58.8,.479,18.1,23.9,.759,10.5,34.3,44.7,20.1,6.8,5.1,14.0,20.9,104.6
2017-18 New York Knicks,241.8,40.7,87.7,.464,8.2,23.3,.352,32.5,64.4,.504,14.9,19.0,.787,10.5,33.6,44.0,23.3,6.7,5.1,14.7,20.5,104.5
2016-17 New York Knicks,242.1,39.6,88.5,.447,8.6,24.7,.348,31.0,63.8,.485,16.6,21.1,.788,12.0,33.2,45.2,21.8,7.1,5.5,13.9,20.3,104.3
2015-16 New York Knicks,241.5,36.9,84.0,.439,7.4,21.5,.346,29.4,62.5,.471,17.2,21.4,.805,10.4,34.0,44.4,20.5,5.7,5.7,13.4,19.7,98.4
2014-15 New York Knicks,242.1,35.1,82.0,.428,6.8,19.7,.347,28.3,62.3,.454,14.8,19.2,.769,10.6,29.8,40.4,21.3,7.0,4.7,14.7,21.6,91.9
2013-14 New York Knicks,242.1,36.9,82.2,.449,9.3,24.9,.372,27.7,57.3,.482,15.5,20.4,.761,10.6,29.7,40.3,20.0,7.7,4.5,13.0,22.1,98.6
2012-13 New York Knicks,240.6,36.5,81.6,.448,10.9,28.9,.376,25.7,52.7,.487,16.0,21.1,.759,10.9,29.7,40.6,19.3,8.2,3.6,12.0,20.1,100.0
2011-12 New York Knicks,241.5,35.8,80.8,.443,7.8,23.3,.336,28.0,57.5,.487,18.3,24.8,.741,11.3,30.5,41.7,20.1,9.4,4.2,16.0,21.1,97.8
2010-11 New York Knicks,241.2,38.3,83.7,.457,9.3,25.4,.368,29.0,58.4,.496,20.6,25.5,.809,10.3,30.1,40.5,21.4,7.6,5.8,13.7,21.3,106.5
2009-10 New York Knicks,242.4,38.1,83.9,.455,9.1,26.2,.346,29.1,57.7,.504,16.8,21.5,.782,10.2,30.2,40.4,21.6,7.1,3.7,14.0,20.0,102.1
2008-09 New York Knicks,241.5,38.5,86.5,.445,10.0,27.9,.360,28.5,58.6,.486,18.2,23.2,.784,11.1,31.0,42.1,21.2,7.4,2.5,14.3,20.4,105.2
2007-08 New York Knicks,242.4,36.2,82.4,.439,6.0,17.7,.337,30.2,64.7,.467,18.6,25.5,.727,12.5,30.0,42.5,18.7,6.4,2.6,14.5,21.5,96.9
2006-07 New York Knicks,244.0,35.4,77.5,.457,5.8,16.7,.346,29.6,60.8,.487,20.9,29.2,.715,12.6,30.7,43.3,18.7,6.6,3.2,17.1,23.6,97.5
2005-06 New York Knicks,243.0,34.4,75.7,.455,3.9,10.8,.362,30.5,64.9,.470,22.9,31.5,.726,12.6,28.8,41.4,17.9,6.8,3.3,17.7,26.3,95.6
2004-05 New York Knicks,242.4,36.3,80.5,.451,5.4,15.1,.356,30.9,65.4,.473,19.3,25.1,.767,11.8,29.2,41.0,20.3,7.7,3.2,14.7,23.7,97.3
2003-04 New York Knicks,242.4,35.1,79.4,.442,5.0,13.6,.364,30.2,65.8,.459,16.8,21.1,.793,11.6,31.0,42.6,20.7,7.4,4.8,15.7,23.1,92.0
2002-03 New York Knicks,242.1,36.2,82.0,.441,7.4,19.3,.383,28.8,62.7,.459,16.1,19.8,.815,10.3,29.0,39.2,22.0,7.1,3.1,14.0,23.0,95.9
2001-02 New York Knicks,241.5,34.4,79.5,.432,5.8,16.4,.353,28.6,63.1,.453,17.1,21.8,.787,10.7,30.0,40.7,21.0,6.8,3.5,14.5,22.0,91.6
2000-01 New York Knicks,242.7,33.6,75.6,.444,4.8,13.6,.351,28.8,62.0,.465,16.8,21.1,.796,9.4,30.8,40.2,18.5,6.6,4.2,14.5,22.7,88.7
1999-00 New York Knicks,241.8,35.3,77.7,.455,4.3,11.4,.375,31.0,66.3,.468,17.2,22.0,.781,9.8,30.7,40.5,19.4,6.3,4.3,14.6,24.2,92.1
1998-99 New York Knicks,242.0,32.2,74.1,.435,4.2,11.8,.353,28.0,62.3,.450,17.8,24.4,.732,11.0,30.2,41.2,19.3,7.9,5.2,16.1,22.8,86.4
1997-98 New York Knicks,241.8,34.9,78.2,.447,4.7,13.9,.335,30.3,64.3,.471,17.1,22.1,.772,11.9,29.7,41.6,21.8,7.7,3.4,15.2,23.7,91.6
1996-97 New York Knicks,242.1,35.1,75.9,.463,5.7,15.8,.363,29.4,60.2,.489,19.3,25.8,.748,11.9,30.7,42.5,22.1,7.7,4.6,17.8,24.8,95.4
1995-96 New York Knicks,241.8,36.6,77.8,.471,5.9,15.7,.377,30.7,62.2,.494,18.0,23.8,.757,10.1,29.9,40.0,22.2,7.9,4.6,15.5,22.7,97.2
