Name,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97 Washington Bullets,242.1,39.1,81.4,.480,4.0,12.2,.331,35.1,69.2,.507,17.1,24.1,.707,12.3,29.5,41.8,23.4,8.7,4.9,15.7,22.1,99.4
1995-96 Washington Bullets,241.5,39.0,80.7,.484,6.0,14.8,.407,33.0,65.9,.501,18.4,25.3,.728,11.3,28.4,39.7,22.1,7.2,6.2,16.2,24.2,102.5
1994-95 Washington Bullets,242.1,38.7,84.1,.460,5.3,15.4,.343,33.5,68.7,.487,17.8,24.5,.724,12.7,27.1,39.8,21.3,7.9,4.9,15.9,23.8,100.5
1993-94 Washington Bullets,240.3,39.0,83.2,.468,2.7,9.1,.297,36.3,74.2,.489,19.7,26.4,.748,13.1,26.7,39.8,22.2,8.5,3.9,17.1,20.9,100.4
1992-93 Washington Bullets,241.5,40.3,86.2,.467,2.1,7.0,.301,38.1,79.1,.482,19.2,25.7,.748,12.6,28.3,40.8,25.7,8.2,4.4,16.1,21.9,101.9
1991-92 Washington Bullets,242.1,41.0,89.0,.461,1.8,6.5,.272,39.2,82.5,.476,18.5,23.9,.778,13.0,28.6,41.6,24.5,8.7,5.1,15.3,22.6,102.4
1990-91 Washington Bullets,242.1,41.3,88.6,.466,0.7,3.5,.194,40.7,85.2,.478,18.0,24.7,.729,14.3,29.1,43.5,25.4,7.2,5.7,16.6,23.5,101.4
1989-90 Washington Bullets,241.8,43.9,92.5,.475,0.5,2.4,.188,43.4,90.0,.482,19.5,25.5,.764,14.6,29.9,44.5,27.0,6.8,5.2,14.6,23.5,107.7
1988-89 Washington Bullets,242.1,42.9,92.6,.464,0.6,3.0,.214,42.3,89.6,.472,21.8,28.3,.772,15.3,28.7,44.0,25.0,8.5,4.0,15.7,25.0,108.3
1987-88 Washington Bullets,242.4,40.9,87.4,.468,0.4,1.7,.210,40.6,85.7,.473,23.3,30.2,.773,15.0,28.0,43.0,22.9,8.5,6.1,16.9,23.4,105.5
1986-87 Washington Bullets,240.3,40.9,90.2,.454,0.5,2.7,.197,40.4,87.5,.461,23.6,30.9,.765,15.9,28.2,44.1,21.3,9.2,8.4,15.9,21.6,106.0
1985-86 Washington Bullets,242.1,40.4,87.2,.463,1.4,5.0,.284,39.0,82.2,.474,20.8,27.9,.745,13.0,29.7,42.7,21.3,7.6,8.7,16.4,21.9,103.0
1984-85 Washington Bullets,242.1,43.1,90.0,.479,1.3,4.9,.274,41.8,85.2,.490,18.0,24.3,.743,12.3,29.2,41.5,25.5,8.6,4.8,15.6,22.8,105.5
1983-84 Washington Bullets,242.7,40.8,84.2,.484,0.9,3.4,.252,39.9,80.8,.494,20.3,26.8,.756,12.5,29.1,41.6,26.7,6.8,3.9,17.7,24.3,102.7
1982-83 Washington Bullets,241.5,40.3,86.1,.468,0.9,2.9,.295,39.5,83.2,.474,17.7,25.1,.705,13.4,29.6,43.0,25.0,8.9,4.9,19.4,23.9,99.2
1981-82 Washington Bullets,241.8,41.5,87.4,.474,0.7,2.9,.250,40.7,84.5,.482,19.8,25.7,.772,12.8,31.5,44.3,24.2,7.8,4.8,17.0,25.3,103.5
1980-81 Washington Bullets,241.2,43.3,91.7,.472,0.8,2.9,.270,42.5,88.7,.479,18.3,25.3,.723,14.1,30.9,45.0,26.2,7.8,4.8,17.3,23.1,105.6
1979-80 Washington Bullets,242.4,43.6,95.1,.458,0.9,2.9,.307,42.7,92.2,.463,18.9,25.0,.758,16.3,33.2,49.5,26.8,6.5,5.4,16.8,23.1,107.0
