Name,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2023-24 Boston Celtics,241.8,43.9,90.2,.487,16.5,42.5,.388,27.4,47.7,.575,16.3,20.2,.807,10.7,35.6,46.3,26.9,6.8,6.6,11.9,16.2,120.6
2023-24 Boston Celtics,241.8,43.9,90.2,.487,16.5,42.5,.388,27.4,47.7,.575,16.3,20.2,.807,10.7,35.6,46.3,26.9,6.8,6.6,11.9,16.2,120.6
2022-23 Boston Celtics,243.7,42.2,88.8,.475,16.0,42.6,.377,26.2,46.2,.567,17.5,21.6,.812,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,117.9
2021-22 Boston Celtics,242.7,40.7,87.4,.466,13.2,37.1,.356,27.5,50.3,.547,17.0,20.9,.816,10.5,35.5,46.1,24.8,7.2,5.8,13.6,18.5,111.8
2020-21 Boston Celtics,241.4,41.5,88.9,.466,13.6,36.4,.374,27.9,52.5,.530,16.1,20.8,.775,10.6,33.6,44.3,23.5,7.7,5.3,14.1,20.4,112.6
2019-20 Boston Celtics,242.1,41.3,89.6,.461,12.6,34.5,.364,28.7,55.0,.522,18.6,23.2,.801,10.7,35.4,46.1,23.0,8.3,5.6,13.8,21.6,113.7
2018-19 Boston Celtics,241.2,42.1,90.5,.465,12.6,34.5,.365,29.5,56.0,.527,15.6,19.5,.802,9.8,34.7,44.5,26.3,8.6,5.3,12.8,20.4,112.4
2017-18 Boston Celtics,241.5,38.3,85.1,.450,11.5,30.4,.377,26.9,54.7,.491,16.0,20.7,.771,9.4,35.1,44.5,22.5,7.4,4.5,14.0,19.7,104.0
2016-17 Boston Celtics,240.9,38.6,85.1,.454,12.0,33.4,.359,26.6,51.7,.515,18.7,23.2,.807,9.1,32.9,42.0,25.2,7.5,4.1,13.3,20.6,108.0
2015-16 Boston Celtics,241.2,39.2,89.2,.439,8.7,26.1,.335,30.5,63.1,.483,18.5,23.5,.788,11.6,33.3,44.9,24.2,9.2,4.2,13.7,21.9,105.7
2014-15 Boston Celtics,242.4,38.9,87.9,.443,8.0,24.6,.327,30.9,63.3,.488,15.4,20.5,.754,11.1,32.7,43.8,24.5,8.2,3.6,13.8,21.2,101.4
2013-14 Boston Celtics,240.6,36.5,83.9,.435,7.0,21.1,.333,29.5,62.9,.470,16.2,20.8,.777,12.0,30.5,42.5,21.0,7.1,4.2,15.4,21.3,96.2
2012-13 Boston Celtics,244.9,37.0,79.7,.465,6.1,17.2,.358,30.9,62.6,.494,16.3,21.0,.776,8.1,31.3,39.3,22.8,8.2,4.5,14.6,21.2,96.5
2011-12 Boston Celtics,241.5,35.5,77.1,.460,5.5,15.0,.367,30.0,62.1,.483,15.4,19.8,.778,7.7,31.1,38.8,23.6,7.5,5.5,14.8,19.9,91.8
2010-11 Boston Celtics,241.2,36.9,75.8,.486,5.0,13.6,.365,31.9,62.2,.513,17.8,23.1,.770,7.8,31.0,38.8,23.4,8.2,4.2,14.6,20.5,96.5
2009-10 Boston Celtics,241.2,37.1,76.8,.483,6.1,17.5,.348,31.0,59.3,.523,19.0,25.5,.746,8.7,29.9,38.6,23.5,8.5,4.9,14.9,22.1,99.2
