Name,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2023-24 Denver Nuggets,240.3,44.0,88.8,.496,11.7,31.2,.374,32.3,57.5,.562,15.1,19.9,.762,10.7,33.7,44.4,29.5,7.1,5.6,12.6,18.2,114.9
2022-23 Denver Nuggets,240.9,43.6,86.4,.504,11.8,31.2,.379,31.8,55.2,.575,16.8,22.4,.751,10.1,32.9,43.0,28.9,7.5,4.5,14.5,18.6,115.8
2021-22 Denver Nuggets,241.5,41.7,86.3,.483,12.7,35.9,.353,29.0,50.4,.575,16.7,21.0,.795,9.2,34.9,44.1,27.8,7.2,3.7,14.5,20.0,112.7
2020-21 Denver Nuggets,242.8,43.3,89.2,.485,12.9,34.2,.377,30.4,55.0,.552,15.7,19.5,.803,10.5,33.9,44.4,26.8,8.1,4.5,13.5,19.1,115.1
2019-20 Denver Nuggets,243.1,42.0,88.9,.473,11.0,30.6,.359,31.1,58.3,.533,16.2,20.9,.777,10.8,33.4,44.1,26.7,8.0,4.6,13.8,20.3,111.3
2018-19 Denver Nuggets,240.6,41.9,90.0,.466,11.0,31.4,.351,30.9,58.7,.527,15.8,20.9,.755,11.9,34.5,46.4,27.4,7.7,4.4,13.4,20.0,110.7
2017-18 Denver Nuggets,242.4,40.7,86.6,.470,11.5,30.9,.371,29.2,55.7,.525,17.1,22.3,.767,11.0,33.5,44.5,25.1,7.6,4.9,15.0,18.7,110.0
2016-17 Denver Nuggets,240.9,41.2,87.7,.469,10.6,28.8,.368,30.6,58.9,.519,18.7,24.2,.774,11.8,34.6,46.4,25.3,6.9,3.9,15.0,19.1,111.7
2015-16 Denver Nuggets,241.8,37.7,85.4,.442,8.0,23.7,.338,29.7,61.7,.482,18.5,24.1,.766,11.5,33.1,44.6,22.7,7.4,4.8,14.7,21.0,101.9
2014-15 Denver Nuggets,242.4,37.8,87.3,.433,8.0,24.8,.325,29.7,62.5,.476,17.8,24.3,.734,12.3,32.4,44.7,21.8,7.8,4.5,14.2,23.0,101.5
2013-14 Denver Nuggets,240.9,38.4,85.9,.447,8.6,23.9,.358,29.8,62.0,.481,19.1,26.3,.726,12.3,33.1,45.4,22.4,7.5,5.6,15.9,23.0,104.4
2012-13 Denver Nuggets,242.7,40.7,85.2,.478,6.4,18.5,.343,34.4,66.6,.516,18.4,26.2,.701,13.3,31.7,45.0,24.4,9.3,6.5,15.3,20.5,106.1
2011-12 Denver Nuggets,243.0,39.0,81.9,.476,6.6,19.9,.332,32.4,62.0,.522,19.6,26.7,.735,11.2,31.9,43.1,24.0,8.2,5.0,15.4,19.7,104.1
2010-11 Denver Nuggets,240.3,38.4,80.6,.476,8.1,20.8,.388,30.3,59.9,.506,22.7,29.6,.765,9.6,32.3,42.0,22.1,7.4,4.3,14.1,21.0,107.5
2009-10 Denver Nuggets,241.2,38.1,81.4,.468,6.6,18.5,.359,31.5,62.9,.500,23.6,30.6,.772,10.8,30.5,41.4,21.0,8.3,5.1,13.9,22.5,106.5
2008-09 Denver Nuggets,240.6,37.3,79.4,.470,6.7,18.0,.371,30.6,61.4,.499,23.1,30.3,.760,11.0,30.6,41.6,22.2,8.7,6.0,15.3,22.9,104.3
2007-08 Denver Nuggets,242.1,40.3,85.8,.470,6.9,19.6,.355,33.4,66.3,.504,23.1,30.7,.751,11.2,32.9,44.1,24.7,9.2,6.7,14.7,21.1,110.7
2006-07 Denver Nuggets,241.2,38.6,83.0,.465,5.9,17.6,.336,32.7,65.4,.500,22.3,29.9,.746,12.2,31.2,43.4,23.4,8.3,5.3,16.5,21.4,105.4
2005-06 Denver Nuggets,243.0,37.5,81.4,.461,4.3,13.1,.325,33.3,68.2,.487,21.0,28.2,.744,11.0,30.3,41.3,23.4,8.5,5.6,14.8,22.7,100.3
2004-05 Denver Nuggets,240.9,37.0,80.7,.459,3.9,11.5,.340,33.1,69.2,.479,21.5,28.2,.763,11.8,30.2,42.0,23.9,9.1,6.0,14.9,22.9,99.5
2003-04 Denver Nuggets,240.6,36.5,82.5,.443,4.0,12.0,.336,32.5,70.5,.461,20.2,26.3,.767,13.2,29.1,42.3,21.9,9.1,6.3,15.6,22.0,97.2
2002-03 Denver Nuggets,240.6,32.8,79.8,.411,2.8,10.0,.278,30.0,69.8,.430,15.8,22.6,.699,13.6,28.8,42.4,21.2,8.7,5.1,18.5,25.1,84.2
2001-02 Denver Nuggets,241.5,35.5,83.8,.424,5.2,15.7,.329,30.4,68.1,.446,15.9,21.4,.744,13.6,28.2,41.8,22.2,7.5,5.6,14.7,22.8,92.2
2000-01 Denver Nuggets,241.2,36.3,83.9,.433,6.2,17.6,.355,30.1,66.3,.454,17.7,24.0,.737,12.7,31.5,44.2,24.0,6.7,6.6,13.9,22.2,96.6
