Name,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2023-24 Houston Rockets,242.1,41.8,91.0,.459,12.7,36.1,.352,29.0,54.8,.530,18.1,23.4,.773,11.5,34.0,45.5,24.8,7.8,4.6,12.7,20.8,114.3
2022-23 Houston Rockets,240.9,40.6,88.9,.457,10.4,31.9,.327,30.2,56.9,.530,19.1,25.3,.754,13.4,32.9,46.3,22.4,7.3,4.6,16.2,20.5,110.7
2021-22 Houston Rockets,240.9,39.4,86.4,.456,13.5,38.7,.349,25.9,47.7,.543,17.5,24.5,.713,9.6,32.4,42.0,23.6,7.3,4.7,16.5,20.6,109.7
2020-21 Houston Rockets,240.3,39.3,88.5,.444,13.8,40.6,.339,25.5,47.9,.532,16.5,22.3,.740,9.3,33.3,42.6,23.6,7.6,5.0,14.7,19.5,108.8
2019-20 Houston Rockets,241.4,40.8,90.4,.451,15.6,45.3,.345,25.1,45.2,.557,20.6,26.1,.791,9.8,34.5,44.3,21.6,8.7,5.2,14.7,21.8,117.8
2018-19 Houston Rockets,241.8,39.2,87.4,.449,16.1,45.4,.356,23.1,42.0,.551,19.3,24.4,.791,10.2,31.9,42.1,21.2,8.5,4.9,13.3,22.0,113.9
2017-18 Houston Rockets,240.9,38.7,84.2,.460,15.3,42.3,.362,23.4,41.9,.558,19.6,25.1,.781,9.0,34.5,43.5,21.5,8.5,4.8,13.8,19.5,112.4
2016-17 Houston Rockets,241.2,40.3,87.2,.462,14.4,40.3,.357,25.9,46.9,.552,20.3,26.5,.766,10.9,33.5,44.4,25.2,8.2,4.3,15.1,19.9,115.3
2015-16 Houston Rockets,241.8,37.7,83.5,.452,10.7,30.9,.347,27.0,52.6,.514,20.4,29.4,.694,11.3,31.7,43.1,22.2,10.0,5.2,15.9,21.8,106.5
2014-15 Houston Rockets,241.5,37.0,83.3,.444,11.4,32.7,.348,25.6,50.6,.506,18.6,26.0,.715,11.7,32.0,43.7,22.2,9.5,5.0,16.7,22.0,103.9
2013-14 Houston Rockets,241.8,38.0,80.5,.472,9.5,26.6,.358,28.5,54.0,.529,22.1,31.1,.712,11.2,34.1,45.3,21.4,7.6,5.6,16.1,20.4,107.7
2012-13 Houston Rockets,241.2,38.1,82.7,.461,10.6,28.9,.366,27.5,53.8,.511,19.2,25.5,.754,11.1,32.3,43.4,23.2,8.3,4.4,16.4,20.3,106.0
2011-12 Houston Rockets,243.4,37.7,84.0,.449,7.2,20.2,.359,30.5,63.8,.477,15.4,19.7,.782,11.7,30.5,42.2,21.3,7.5,4.8,14.5,20.4,98.1
2010-11 Houston Rockets,242.4,38.7,85.1,.454,8.3,22.5,.367,30.4,62.6,.486,20.3,25.4,.801,11.7,31.1,42.8,23.8,7.1,4.5,13.5,20.0,105.9
2009-10 Houston Rockets,242.7,37.7,84.4,.447,7.9,22.4,.351,29.9,62.0,.481,19.0,24.7,.772,11.8,30.1,42.0,21.8,7.1,3.9,14.5,20.9,102.4
2008-09 Houston Rockets,241.5,36.1,79.6,.453,7.6,20.2,.375,28.5,59.4,.480,18.7,23.2,.805,10.5,32.5,43.0,20.3,6.7,4.3,14.1,18.9,98.4
2007-08 Houston Rockets,240.6,36.6,81.7,.448,7.1,20.8,.342,29.5,60.9,.485,16.4,22.5,.726,12.2,32.4,44.6,21.4,7.3,5.1,13.7,19.6,96.7
2006-07 Houston Rockets,242.1,35.4,79.6,.445,8.6,23.1,.372,26.8,56.5,.475,17.5,23.2,.753,10.7,32.6,43.3,20.8,7.1,4.1,14.2,20.9,97.0
2005-06 Houston Rockets,241.8,33.0,76.2,.433,5.7,17.2,.332,27.3,59.0,.463,18.3,24.1,.759,10.4,31.3,41.6,19.3,7.2,3.9,14.5,22.7,90.1
2004-05 Houston Rockets,242.1,34.7,78.3,.443,6.7,18.5,.364,28.0,59.7,.468,18.9,24.2,.781,10.7,31.7,42.4,21.1,6.9,4.6,13.8,22.0,95.1
2003-04 Houston Rockets,243.0,33.4,75.5,.442,6.3,17.1,.366,27.1,58.4,.464,16.7,21.6,.773,10.3,32.3,42.6,19.3,6.8,5.4,16.7,21.5,89.8
2002-03 Houston Rockets,243.0,34.6,78.8,.440,5.4,15.5,.346,29.3,63.3,.462,19.1,24.9,.768,12.5,31.3,43.8,18.4,7.2,6.0,15.6,19.5,93.8
2001-02 Houston Rockets,243.7,34.6,80.8,.428,6.0,18.0,.335,28.5,62.8,.455,17.1,23.1,.741,12.5,29.4,41.9,18.1,6.5,5.4,14.1,18.0,92.3
2000-01 Houston Rockets,241.8,35.9,79.2,.453,6.1,17.2,.357,29.7,62.0,.480,19.3,25.4,.758,11.2,30.8,42.0,19.7,7.2,4.4,14.7,20.2,97.2
1999-00 Houston Rockets,241.8,36.6,81.3,.450,7.1,19.8,.358,29.5,61.5,.480,19.2,26.2,.733,12.3,31.5,43.8,21.6,7.5,5.3,17.4,20.3,99.5
1998-99 Houston Rockets,241.5,35.1,76.0,.462,6.7,18.3,.368,28.4,57.7,.492,17.3,23.7,.729,10.7,30.8,41.5,21.2,7.7,5.2,16.2,19.2,94.2
1997-98 Houston Rockets,241.8,35.9,79.4,.452,7.0,20.4,.343,28.9,59.1,.490,19.9,25.9,.771,12.0,28.7,40.7,21.9,8.4,3.6,15.8,20.2,98.8
1996-97 Houston Rockets,242.1,37.0,79.1,.468,8.2,22.4,.365,28.9,56.6,.509,18.3,24.3,.755,11.3,31.3,42.6,24.5,8.4,4.2,16.6,19.6,100.6
1995-96 Houston Rockets,241.5,37.5,81.0,.464,7.8,21.5,.362,29.8,59.5,.501,19.6,25.7,.765,11.2,29.9,41.1,24.2,7.9,5.8,15.2,21.4,102.5
1994-95 Houston Rockets,240.6,38.5,80.2,.480,7.9,21.4,.368,30.6,58.8,.521,18.6,24.9,.749,10.7,29.8,40.5,25.1,8.8,6.3,16.1,20.9,103.5
1993-94 Houston Rockets,241.2,39.0,82.1,.475,5.2,15.7,.334,33.8,66.4,.508,17.9,24.1,.743,11.3,31.9,43.2,25.5,8.7,5.9,16.3,20.1,101.1
1992-93 Houston Rockets,241.2,40.0,82.2,.486,4.7,13.1,.361,35.3,69.2,.510,19.3,25.5,.758,12.0,30.9,42.9,25.8,8.3,6.6,15.8,20.7,104.0
1991-92 Houston Rockets,242.4,39.9,84.1,.475,4.0,11.7,.343,35.9,72.4,.496,18.2,24.6,.738,13.1,29.7,42.8,25.1,8.0,7.0,16.8,21.6,102.0
1990-91 Houston Rockets,242.1,41.5,88.9,.467,3.9,12.1,.320,37.6,76.8,.490,19.9,26.8,.741,15.5,30.6,46.1,23.2,9.7,5.0,17.1,22.9,106.7
1989-90 Houston Rockets,241.5,42.5,88.4,.480,1.9,6.0,.312,40.6,82.4,.493,19.9,27.6,.720,14.8,32.2,47.0,26.8,9.9,6.7,18.5,23.6,106.7
1988-89 Houston Rockets,242.1,41.6,87.8,.474,2.0,6.4,.314,39.6,81.4,.487,23.3,30.8,.755,14.8,31.1,45.9,24.6,9.6,6.1,19.1,24.7,108.5
1987-88 Houston Rockets,240.0,42.3,89.7,.471,0.8,3.5,.237,41.4,86.1,.481,23.6,30.3,.780,15.1,30.9,46.0,23.6,8.7,6.1,16.7,22.7,109.0
1986-87 Houston Rockets,241.2,42.3,88.6,.477,1.1,4.0,.275,41.2,84.6,.487,21.3,28.7,.741,14.5,30.3,44.8,27.2,8.0,6.8,16.9,24.1,106.9
1985-86 Houston Rockets,240.9,45.8,93.5,.490,1.0,3.8,.274,44.8,89.8,.499,21.7,29.7,.730,16.0,29.7,45.7,28.3,9.1,6.7,16.8,24.3,114.4
1984-85 Houston Rockets,241.8,45.7,90.7,.504,0.5,2.3,.220,45.2,88.5,.511,19.3,27.6,.699,16.2,29.2,45.4,27.3,8.3,7.3,19.6,24.8,111.2
1983-84 Houston Rockets,240.9,45.5,91.9,.495,0.4,1.9,.195,45.1,90.0,.501,19.3,26.1,.740,14.6,30.3,44.9,26.9,7.6,6.3,19.0,28.3,110.6
1982-83 Houston Rockets,240.6,40.7,90.8,.448,0.8,3.3,.247,39.9,87.5,.456,17.1,23.6,.725,14.7,27.6,42.3,23.5,7.9,5.1,19.2,26.0,99.3
1981-82 Houston Rockets,241.2,42.7,89.8,.476,0.6,2.1,.284,42.1,87.7,.480,19.8,27.1,.729,17.1,27.9,45.0,24.1,7.9,5.2,16.1,22.8,105.9
1980-81 Houston Rockets,241.5,43.6,89.5,.487,0.3,1.4,.178,43.3,88.0,.492,20.9,27.1,.770,14.8,28.6,43.5,25.6,8.6,4.8,17.7,23.2,108.3
1979-80 Houston Rockets,243.0,43.9,91.4,.480,1.3,4.6,.274,42.6,86.8,.491,21.7,28.4,.766,17.0,27.0,44.0,26.2,9.5,4.5,19.1,23.5,110.8
