Name,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2023-24 Sacramento Kings,242.1,43.3,90.9,.477,14.4,39.3,.366,29.0,51.7,.561,15.5,20.9,.745,10.8,33.2,44.0,28.3,7.6,4.2,13.1,19.9,116.6
2022-23 Sacramento Kings,241.8,43.6,88.2,.494,13.8,37.3,.369,29.8,50.9,.586,19.8,25.1,.790,9.5,32.9,42.5,27.3,7.0,3.4,13.5,19.7,120.7
2021-22 Sacramento Kings,241.5,40.5,88.1,.460,11.4,33.2,.344,29.1,54.9,.530,17.9,23.3,.768,9.6,33.4,42.9,23.7,7.2,4.5,14.1,18.9,110.3
2020-21 Sacramento Kings,240.3,42.6,88.6,.481,12.1,33.3,.364,30.5,55.3,.551,16.4,22.0,.745,9.4,32.0,41.4,25.5,7.5,5.0,13.4,19.4,113.7
2019-20 Sacramento Kings,242.4,40.9,88.4,.462,12.7,34.9,.364,28.2,53.5,.527,15.7,20.3,.770,9.7,32.9,42.6,23.8,7.7,4.1,14.5,22.2,110.1
2018-19 Sacramento Kings,240.6,43.2,93.1,.464,11.3,29.9,.378,31.9,63.2,.504,16.5,22.7,.726,11.0,34.4,45.4,25.4,8.3,4.4,13.4,21.4,114.2
2017-18 Sacramento Kings,240.9,38.8,86.1,.450,9.0,24.0,.375,29.8,62.1,.479,12.3,16.7,.735,9.5,31.4,40.9,21.6,7.8,4.1,13.7,20.0,98.8
2016-17 Sacramento Kings,242.4,37.9,82.1,.461,9.0,23.9,.376,28.9,58.2,.496,18.1,23.3,.775,8.7,32.3,41.1,22.5,7.6,4.0,14.6,20.3,102.8
2015-16 Sacramento Kings,241.5,40.0,86.4,.464,8.0,22.4,.359,32.0,64.0,.500,18.5,25.5,.725,10.6,33.7,44.2,24.5,8.9,4.5,16.2,20.4,106.6
2014-15 Sacramento Kings,242.1,36.7,80.7,.455,5.6,16.5,.341,31.1,64.2,.484,22.3,29.3,.762,10.9,33.3,44.2,20.3,6.7,4.0,16.3,20.7,101.3
2013-14 Sacramento Kings,241.8,36.9,82.5,.447,6.0,18.0,.333,30.9,64.5,.479,20.7,27.3,.759,12.1,32.4,44.5,18.9,7.2,3.9,15.2,22.5,100.5
2012-13 Sacramento Kings,241.8,37.6,84.2,.447,7.4,20.5,.363,30.2,63.7,.474,17.5,22.8,.769,11.5,29.1,40.6,20.8,8.2,4.2,14.6,20.9,100.2
2011-12 Sacramento Kings,241.1,37.7,86.5,.436,6.2,19.7,.316,31.5,66.8,.471,17.1,23.2,.736,13.4,29.5,42.9,19.3,8.5,4.9,14.4,19.5,98.8
2010-11 Sacramento Kings,242.1,38.2,85.1,.449,5.2,15.6,.335,33.0,69.5,.475,17.7,24.2,.734,13.1,30.8,43.9,20.4,7.4,4.8,16.1,22.0,99.4
2009-10 Sacramento Kings,242.4,38.3,84.1,.456,5.9,16.9,.349,32.5,67.2,.483,17.4,24.0,.726,11.9,30.7,42.6,20.5,6.9,4.5,15.0,22.3,100.0
2008-09 Sacramento Kings,242.7,36.5,81.5,.447,7.1,19.4,.368,29.3,62.1,.472,20.5,25.7,.798,10.2,28.9,39.1,19.7,6.9,4.3,15.4,23.3,100.6
2007-08 Sacramento Kings,241.8,37.1,80.0,.464,6.2,16.7,.373,30.9,63.3,.488,22.1,27.7,.798,10.1,30.0,40.1,19.1,7.9,4.1,16.1,22.4,102.5
2006-07 Sacramento Kings,241.5,35.9,79.7,.450,6.5,18.5,.350,29.4,61.2,.480,23.1,30.2,.765,9.7,29.2,38.9,20.3,8.2,3.2,14.6,21.9,101.3
2005-06 Sacramento Kings,241.8,36.0,79.3,.454,6.0,17.2,.351,30.0,62.1,.483,20.8,26.5,.784,10.4,30.2,40.5,22.3,7.4,3.6,14.6,20.4,98.9
2004-05 Sacramento Kings,242.1,39.1,85.1,.459,6.4,17.0,.374,32.7,68.1,.480,19.2,24.4,.787,12.5,29.9,42.4,24.5,8.2,3.9,13.1,20.5,103.7
2003-04 Sacramento Kings,241.2,37.8,81.8,.462,7.3,18.3,.401,30.5,63.6,.480,19.8,24.9,.795,10.8,30.4,41.2,26.2,8.7,4.0,13.9,19.3,102.8
2002-03 Sacramento Kings,241.8,39.5,85.2,.464,6.0,15.7,.381,33.5,69.5,.482,16.7,22.3,.746,11.0,33.5,44.5,24.8,9.0,5.6,14.5,20.3,101.7
2001-02 Sacramento Kings,240.9,39.8,85.4,.467,5.2,14.1,.367,34.6,71.3,.486,19.7,26.3,.751,12.4,33.0,45.3,23.9,9.0,4.6,13.8,19.0,104.6
2000-01 Sacramento Kings,244.9,38.2,85.0,.449,5.8,16.5,.354,32.4,68.5,.472,19.5,25.3,.771,12.0,33.0,45.0,22.6,9.7,5.3,14.9,19.5,101.7
1999-00 Sacramento Kings,241.5,40.0,88.9,.450,6.5,20.2,.322,33.4,68.7,.487,18.5,24.6,.754,12.9,32.1,45.0,23.8,9.6,4.6,16.2,21.1,105.0
1998-99 Sacramento Kings,244.0,38.4,86.1,.445,5.8,18.9,.308,32.6,67.3,.484,17.7,25.9,.683,14.1,31.5,45.6,22.6,8.9,4.6,16.8,20.3,100.2
1997-98 Sacramento Kings,240.6,36.1,81.5,.442,3.5,9.8,.351,32.6,71.7,.455,17.6,25.6,.687,13.3,28.1,41.4,22.4,7.3,5.1,15.5,22.1,93.1
1996-97 Sacramento Kings,242.1,36.6,80.6,.454,5.0,12.9,.391,31.5,67.7,.466,18.2,25.2,.723,13.4,28.1,41.5,21.9,7.2,4.4,16.2,23.7,96.4
1995-96 Sacramento Kings,240.9,36.2,79.2,.457,5.6,14.6,.387,30.6,64.6,.473,21.5,29.4,.731,13.6,28.6,42.2,22.3,7.8,5.3,17.6,26.0,99.5
1994-95 Sacramento Kings,242.1,36.9,78.8,.468,4.4,12.6,.346,32.5,66.2,.491,20.1,28.3,.711,13.1,28.4,41.4,22.2,7.9,5.6,17.7,24.9,98.2
1993-94 Sacramento Kings,240.9,38.8,85.7,.452,3.1,8.9,.353,35.6,76.8,.464,20.4,28.0,.731,13.7,28.6,42.3,24.7,8.2,4.3,16.3,24.1,101.1
1992-93 Sacramento Kings,241.2,41.0,88.6,.463,3.2,9.6,.332,37.8,79.0,.478,22.7,29.8,.762,13.9,27.8,41.7,25.3,9.4,4.2,16.6,25.4,107.9
1991-92 Sacramento Kings,241.8,40.8,87.7,.466,2.9,8.2,.353,37.9,79.4,.477,19.7,26.4,.747,12.9,28.7,41.6,23.9,8.9,7.5,16.6,21.5,104.3
1990-91 Sacramento Kings,240.3,37.6,83.1,.453,2.6,7.0,.374,35.0,76.1,.460,18.8,25.7,.732,12.5,27.0,39.6,24.3,7.7,6.3,15.5,25.3,96.7
